user_id,item_id
62561606,160380876
59874489,190961836
6232766,401693
6232766,295792505
20161365,323108057
117848652,140860200
135429591,208447522
3592723,108905305
124166879,18382789
46511333,60843248
57928428,271654035
138286401,21382168
105053648,252980556
3592723,318019479
110064142,208234541
111348988,214504359
21499662,373435628
108456257,291626683
59649462,160410938
6232766,318981634
60986741,94295915
64052360,179275088
6232766,141685709
46511333,297511980
14425617,225464717
13799559,297950924
54729032,291485256
39136295,46333404
110613622,158350489
140644193,303717022
13709817,266027910
51351379,400927115
49457214,206877299
133584866,182338221
46804781,43853546
122750987,30458037
18561160,137134825
127144311,342420457
37565729,169300484
23519173,116795322
53422394,248422818
44469650,298482480
139604638,151225393
118733970,38814566
15753232,32607635
2414425,15260509
132666293,253184692
26375575,64932430
118754832,169139340
45686369,196485852
46804781,100332023
42873856,155433118
116648201,29268056
55733768,198077186
104900356,347649792
57608223,68121632
116592287,179039477
131110679,365083931
27544937,87203559
112767187,288853157
37534184,222937214
121731227,217037752
123584195,274573545
23443147,333266873
35149804,381776327
14464101,332554657
640464,376724037
53086835,381534050
108456257,122289501
102976447,278150363
132263018,389903987
13395951,101276445
63444620,87925979
15638527,230688483
46143536,316782107
64509513,112065685
6232766,361127905
58731027,172174006
3279691,169733770
3279691,148767254
3279691,212953459
3279691,150158962
108456257,403329711
106579874,318749268
102702049,124807450
5829062,294584740
57608223,56907940
29668961,123074391
132521672,160927379
26036560,201073454
126376929,14128520
29668961,77455134
130720655,9972249
11312703,261296808
141411680,274773607
16039984,174200213
115483400,100045554
14902354,324543553
64052360,142510327
39659909,219576450
131775218,364172187
15753232,131419460
27559334,329760800
54457700,255668897
135256425,62122634
32795881,268462041
109343627,186454619
36465179,168912976
47627981,90052899
112474936,169411640
25737478,395347305
11448627,92917418
110613622,261694219
52145633,227084025
52145633,23497622
132506225,176774592
128608455,170742994
115132373,303312609
3592723,183552711
135986094,75901582
135036828,385666802
26882464,241963448
16039984,375747700
18055459,397587225
128531013,365031508
134304816,171926553
10733316,68744947
135887244,252980337
39924752,376867182
15303925,124191794
126655818,344260924
18055459,388990782
49537083,108113778
46143536,152802776
115932482,3998344
49537083,158834484
114715289,103883943
124435826,233324592
54457700,12873219
42966754,142177783
129896352,346794151
138445366,126817548
42631126,392710881
46143536,140261105
49537083,192105349
107642552,266933869
131116778,142305215
128210913,313592439
45606398,227399747
18500740,165734040
29668961,250010953
109723452,59447104
57928428,133848421
141411680,52505488
28721261,67303237
125817855,346507087
15775339,50015543
115483400,155122678
43293667,50817226
129035652,281367431
3320605,326173302
42345877,11199266
16211815,158918025
17562481,172943315
136592694,271703677
127428207,177230750
129035652,126230442
51085177,399262924
113875946,272783375
110613622,135096656
110613622,296415636
13298013,343167509
128608455,195895922
134545503,206239601
122750987,82221465
51435979,222430885
49883085,326119411
6232766,153925963
139834975,57711075
120571702,270412179
45739139,115607310
124369376,170716011
102633271,145357345
64509513,391913696
42436837,52315547
62561606,93923409
140830355,151547215
30324405,19573548
45739139,73887606
52508153,196307083
123749015,2039250
101404654,81160892
64509513,363440366
13401687,79951645
138194976,300063226
55733768,255324788
18037570,32011685
135347670,368516899
25737478,140723346
113901356,71697373
52913276,234145312
16647718,125796281
108456257,348184998
49439877,356059833
14851807,25270354
129035652,333020963
26190472,319571584
132959627,46664130
137880147,314183991
29633312,245803415
30994693,231376041
29668961,282229236
124956647,230570948
27544937,282440328
117066530,116000720
128535231,33714460
34539613,75443099
131116778,91169410
4604459,212936692
28062752,40758008
29668961,124350067
130720655,125877654
110297776,322304061
52826819,206210981
128705196,208198114
15775339,189926392
130720655,367914613
106105154,308781282
29633312,341395851
32826298,368623838
29044730,363967449
12120138,89026143
139604638,265298904
29668961,347017420
60940970,400900293
58761042,336479108
106105154,177558678
3279691,281999683
45439787,98068320
3279691,47165671
3279691,308673158
3279691,343478189
122227691,10004635
3279691,140985161
3279691,126279183
3279691,348442721
130838234,26115090
25609192,210320471
116279996,259211103
112721758,56523549
108456257,302259270
110507614,287287227
54125084,231380547
40792705,324391399
34919803,329399860
110651470,179966938
34636924,171754658
18980956,153511336
113598995,156420383
21079914,72575272
115873760,13514657
105130391,380002104
6232766,313668010
55866338,118744429
55540832,127780118
47298212,389068335
110946571,79816441
55988786,54180227
64509513,287852834
100719886,136045796
27989765,347294464
116592287,328897339
54457700,110106017
107461040,43549049
30660351,239944932
4641860,217456414
55988786,35036798
25413682,391247505
100719886,244657806
33509902,105344622
128531013,311559583
106166372,139806398
107431823,278920972
107947538,86585489
36572621,234426798
42225766,330095322
127620948,75652735
113689556,137129412
13401687,290710233
14307216,398670727
54457700,261151056
109973958,253501683
119412768,293757548
132666293,307896368
63698318,163031814
28165193,217337129
32339254,76959240
42436837,183140085
64304565,170739616
101459920,42831088
127599822,113028737
116202395,5623324
59698002,246374981
102746167,327105490
105207377,45625356
54456266,290964124
112572541,64871602
20471628,400504833
34363588,178952159
135767532,254369823
129035652,332922858
62909306,125666923
16211815,329959191
43696691,53458909
129035652,384331280
130720655,284865592
56488956,394891676
56097260,302180362
51085177,137382075
34565011,399577345
130720655,326409497
10967643,389719910
132959627,284690243
22837117,199332011
37534184,145035872
126045519,58377033
29668961,369332205
37534184,363398318
23756611,18697245
42345877,141714463
31351747,313137262
123538742,41354387
412008,385788129
124226636,109616362
126045519,6996675
5696081,174554954
130720655,255158619
31182685,207229073
59786445,296751981
43696691,261373410
42345877,301325937
134673675,101957299
117066530,158949705
104644609,71804117
3559939,133124112
31351747,159800555
12584346,270124536
130720655,168256834
104541883,354013827
33284869,326965001
130720655,75346011
100639219,260924457
124289165,74497057
15775339,313726179
3279691,371023374
24258742,14640470
37926938,113895951
132959627,247904908
4881284,345417705
52826819,283359168
43231033,231775939
113512469,255172634
22361952,194896661
140644193,113980783
134576592,168909894
14843461,64720845
31872397,64308437
123584195,197485026
18779575,186466896
50661718,104596107
63914735,126488611
5960915,180364787
3279691,190619518
107555525,57101461
129035652,130516540
43293667,402744097
31351747,38540372
141411680,242142672
104478121,295297402
100639219,297597444
121597187,253193522
140944343,130177952
45697745,795351
114020513,157717267
45771857,54348628
62909306,126902916
21449022,300736597
102807796,349658040
35588510,142244835
135887244,172286887
60020522,53113738
26882464,87165372
140295377,214421927
19430771,87535616
53627342,114997615
134794080,374703634
123646460,169474343
104960101,300611616
57757827,239539339
102807796,381375800
51381793,232611862
55540832,140312533
122933600,108789547
136124871,2810495
42631126,267853043
56405631,39178659
15330397,247468935
140943878,382359668
22776936,320882076
123698981,16432334
31446754,667104
133055414,76332094
64509513,13127523
106166372,283629861
136447080,15777172
62103383,162276862
54457700,345038840
127153959,348298584
14902354,238710101
129335403,271527006
111804220,245235006
101748523,274512919
49250328,255922796
22304154,366350755
141089654,34015780
58306059,184982343
12550569,302210343
138068742,180989956
140830355,89034144
45739139,335981806
61902875,247335150
6232766,171877936
25506922,260933004
55733768,146173080
64509513,214186138
56708793,315514488
64509513,33114334
58874337,203937987
20231862,344576205
21950211,285722967
25737478,378669682
62492600,280517110
27004588,99879771
128531013,73212511
5491874,1602367
35753411,286682578
16694491,166646425
101748523,316759903
60882638,356172725
6386027,234827833
3279691,364649737
100226515,331152052
135235563,110249913
64278585,360249008
15562786,304396852
116211605,34769798
38787188,394738265
101823100,279425610
139391047,134055787
103183648,186485919
61969109,241180687
64570584,140633728
32259442,130979220
108967934,26423897
59698002,139563810
32358007,125095158
3279691,116779002
62096384,300497538
62626655,356183099
109343627,306771675
13908381,149715258
101991172,262167876
125083808,368716065
132752969,347285541
10823697,1541271
51381793,324134958
141035081,306435207
29670638,248126398
40372444,5408351
110686264,225029991
136275558,107684856
104378635,127308709
103884109,87093114
51470416,83312503
42345877,255584468
60937346,14910612
23926348,281911316
63569795,67559669
19430771,388825267
140945987,65684126
59586921,393355553
136934238,146080535
29670638,303153002
19170635,23398792
141035081,321003038
50229040,142211026
2717587,99004244
108524873,270979789
33509902,260912295
53910644,213077139
25160362,34079764
132506225,39606990
62027162,263806022
64199090,102618636
54729032,68179534
122160761,64950392
53773250,319497096
123249113,236570608
51381793,146067075
110634142,266832137
115086110,239867639
54729032,61114425
412008,112969036
132381818,31115186
61479947,102351955
126376929,225364813
62909306,308996521
142094433,292497170
39659738,340709759
128531013,338073105
3279691,6212409
18055459,254494885
138275253,166529787
129035652,5228462
126045519,215126039
52462313,133685657
128210913,92521875
16211815,208226635
23756611,263101589
130720655,218638849
50847172,391703409
2069029,23326982
46770707,198626545
3279691,245902028
14464101,306970654
29668961,275300568
47522405,384144053
14705785,75844308
102590956,305000126
139604638,296224299
29668961,45269609
15913654,225257142
3279691,297964812
3279691,144933523
130720655,70763694
2069029,98635226
49510692,22546287
59874489,387456823
58245228,382756723
139186246,314721313
56097260,266271925
132708656,299862999
32554567,55897402
23443147,10571958
45697745,2522628
3559939,141970951
3279691,400047623
3320605,393403614
58399743,390522074
44763131,380810476
16334101,64672691
3279691,178639687
60498662,29548162
113112452,130193950
128817246,370446865
132263018,294946575
58731027,228315393
3279691,388200494
127042716,153918533
58399743,240091551
129823140,131915184
62674958,312140640
141411680,386127509
132159746,56251689
26190472,136438112
29668961,74871858
134356596,114781743
100684453,401564683
25609192,238784602
44275052,57650140
130720655,49008777
126045519,399045592
126849846,182061407
52354025,63382875
58308738,51023266
118630104,146155839
130720655,24452649
3279691,250969035
129035652,23772148
33538654,328524748
57928428,192365953
46222901,253728919
32144989,384222084
132959627,121094024
141474722,146694002
47671268,244345197
32352136,231420654
112968943,243369242
34539613,382747729
16211815,353086170
26080246,55364575
100781992,280437346
127144311,60576903
4412198,386462107
3279691,391714355
52356533,74548729
100468048,140646131
119331312,87310692
57245760,102776491
127428207,245488496
11018253,352776801
135670473,250359893
125613737,82956400
112721758,106596961
29633312,195065436
109723452,64847777
3320605,135749651
133055414,157396683
65328951,93719064
135767532,9538665
16211815,314496498
62674958,138688410
114932900,373070389
138487774,46194360
123131591,128926528
20777136,189654347
129035652,7635454
51523072,24031013
3279691,373650184
132970457,387535654
45095849,294836453
25123987,214712761
11803908,75648726
37771280,67527199
127643976,11561544
3279691,244524858
50661718,353980931
3279691,8263865
110581771,102672295
57245760,34268435
3279691,184856809
34539613,402223726
114145859,229204972
109682277,212423287
13374063,43413545
141411680,219592738
14083845,326429901
13087170,352313690
139604638,321197554
127144311,345961029
59786445,127447552
46894238,208128641
29668961,153939063
37926938,9221230
3279691,395010424
3279691,239065350
27544937,57538552
127168527,333532271
106105154,99040689
3320605,348335409
140334842,296027705
29943290,383172570
114764627,101200998
135207657,78087954
132156050,30728546
21902688,242630692
104424499,10379089
132666293,347518038
27151132,3386676
38383580,232167917
124871600,284336702
136881468,116115725
139499311,118382785
116648201,219480669
49444128,18753153
105611882,173013152
21950211,288882494
138669922,320086636
10319154,318684366
54494456,281220195
129034389,374779410
